appid,app_name,genres,steamspy_tags
1817190,Marvel’s Spider-Man: Miles Morales,"['Action', 'Adventure']",Action;Adventure
775500,SCARLET NEXUS,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
1135690,Unpacking,"['Casual', 'Indie', 'Simulation']",Casual;Indie;Simulation
1888930,The Last of Us™ Part I,"['Action', 'Adventure']",Action;Adventure
2369390,Far Cry® 6,"['Action', 'Adventure']",Action;Adventure
1426210,It Takes Two,"['Action', 'Adventure']",Action;Adventure
594570,Total War: WARHAMMER II,"['แอ็คชัน', 'กลยุทธ์']",
2230650,TEVI,"['Action', 'Adventure', 'Casual', 'Indie']",Action;Adventure;Casual;Indie
242760,The Forest,"['Action', 'Adventure', 'Indie', 'Simulation']",
434170,The Jackbox Party Pack 3,"['Casual', 'Indie', 'Strategy']",
814380,Sekiro™: Shadows Die Twice - GOTY Edition,"['Action', 'Adventure']",
1313140,Cult of the Lamb,"['Action', 'Adventure', 'Indie', 'Strategy']",Action;Adventure;Indie;Strategy
2254740,Persona 5 Tactica,"['RPG', 'Strategy']",RPG;Strategy
1593500,God of War,"['Action', 'Adventure', 'RPG']",Action;Adventure;RPG
632470,Disco Elysium - The Final Cut,['RPG'],
367520,Hollow Knight,"['Action', 'Adventure', 'Indie']",
